tournament, date, aName, bName, aSets, bSets, aS1, aS2, aS3, aS4, aS5, bS1, bS2, bS3, bS4, bS5
AAPT Championships - Adelaide ,2003-01-03 ,Kristof Vliegen ,Alberto Martin ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-03 ,Jan-Michael Gambill ,Mikhail Youzhny ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-03 ,Stefan Koubek ,Younes El Aynaoui ,2 ,0 ,7 ,7 , , , ,6 ,6 , , ,
Tata Open 2003 - Chennai ,2003-01-03 ,Karol Kucera ,Guillermo Canas ,2 ,0 ,6 ,7 , , , ,1 ,5 , , ,
Tata Open 2003 - Chennai ,2003-01-03 ,Paradorn Srichaphan ,Sargis Sargsian ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Tata Open 2003 - Chennai ,2003-01-03 ,Juan Ignacio Chela ,Tomas Behrend ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Tata Open 2003 - Chennai ,2003-01-03 ,Jean-Rene Lisnard ,Rainer Schuettler ,2 ,0 ,6 ,7 , , , ,2 ,5 , , ,
AAPT Championships - Adelaide ,2003-01-04 ,Nikolay Davydenko ,Adrian Voinea ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
AAPT Championships - Adelaide ,2003-01-04 ,Kristof Vliegen ,Richard Krajicek ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,3 , ,
Qatar Exxon Mobil Open 2003 - Doha ,2003-01-04 ,Stefan Koubek ,Jan-Michael Gambill ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Tata Open 2003 - Chennai ,2003-01-04 ,Karol Kucera ,Juan Ignacio Chela ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Tata Open 2003 - Chennai ,2003-01-04 ,Paradorn Srichaphan ,Jean-Rene Lisnard ,2 ,0 ,6 ,6 , , , ,2 ,1 , , ,
AAPT Championships - Adelaide ,2003-01-05 ,Nikolay Davydenko ,Kristof Vliegen ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Tata Open 2003 - Chennai ,2003-01-05 ,Paradorn Srichaphan ,Karol Kucera ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Adidas International - Sydney ,2003-01-06 ,Juan Carlos Ferrero ,Jaymon Crabb ,2 ,1 ,5 ,7 ,6 , , ,7 ,5 ,3 , ,
Adidas International - Sydney ,2003-01-06 ,Wayne Ferreira ,Thomas Enqvist ,2 ,0 ,6 ,6 , , , ,2 ,4 , , ,
Adidas International - Sydney ,2003-01-06 ,Jarkko Nieminen ,Peter Luczak ,2 ,1 ,6 ,3 ,7 , , ,0 ,6 ,5 , ,
Heineken Open - Auckland ,2003-01-06 ,Dominik Hrbaty ,Simon Rea ,2 ,0 ,6 ,6 , , , ,4 ,2 , , ,
Heineken Open - Auckland ,2003-01-06 ,Fernando Vicente ,Luis Horna ,2 ,1 ,3 ,7 ,6 , , ,6 ,6 ,2 , ,
Heineken Open - Auckland ,2003-01-06 ,Felix Mantilla ,Jose Acasuso ,2 ,0 ,6 ,7 , , , ,3 ,5 , , ,
Heineken Open - Auckland ,2003-01-06 ,Kenneth Carlsen ,Andre Sa ,2 ,1 ,6 ,7 ,6 , , ,7 ,5 ,4 , ,
Heineken Open - Auckland ,2003-01-06 ,Vince Spadea ,Antony Dupuis ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Heineken Open - Auckland ,2003-01-06 ,David Ferrer ,Alberto Martin ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Adidas International - Sydney ,2003-01-07 ,Marat Safin ,Olivier Rochus ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Adidas International - Sydney ,2003-01-07 ,Franco Squillari ,Roger Federer ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Adidas International - Sydney ,2003-01-07 ,Carlos Moya ,James Blake ,2 ,1 ,6 ,6 ,6 , , ,3 ,7 ,3 , ,
Adidas International - Sydney ,2003-01-07 ,Gaston Gaudio ,Todd Reid ,2 ,1 ,6 ,6 ,7 , , ,7 ,2 ,5 , ,
Adidas International - Sydney ,2003-01-07 ,Max Mirnyi ,Xavier Malisse ,2 ,1 ,7 ,6 ,6 , , ,6 ,7 ,3 , ,
Adidas International - Sydney ,2003-01-07 ,Rainer Schuettler ,Ivan Ljubicic ,2 ,0 ,6 ,7 , , , ,2 ,6 , , ,
Adidas International - Sydney ,2003-01-07 ,Mikhail Youzhny ,Adrian Voinea ,1 ,0 ,3 ,6 , , , ,6 ,2 , , ,
Adidas International - Sydney ,2003-01-07 ,Hyung-Taik Lee ,Nicolas Lapentti ,2 ,0 ,6 ,6 , , , ,2 ,0 , , ,
Adidas International - Sydney ,2003-01-07 ,Andy Roddick ,Tommy Robredo ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Adidas International - Sydney ,2003-01-07 ,Paradorn Srichaphan ,Scott Draper ,2 ,1 ,6 ,3 ,6 , , ,4 ,6 ,1 , ,
Adidas International - Sydney ,2003-01-07 ,Juan Ignacio Chela ,Albert Costa ,2 ,0 ,7 ,6 , , , ,6 ,1 , , ,
Adidas International - Sydney ,2003-01-07 ,Mardy Fish ,Richard Krajicek ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Adidas International - Sydney ,2003-01-07 ,Nikolay Davydenko ,Raphael Durek ,2 ,0 ,6 ,6 , , , ,3 ,4 , , ,
Heineken Open - Auckland ,2003-01-07 ,Gustavo Kuerten ,Martin Verkerk ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Heineken Open - Auckland ,2003-01-07 ,Jan-Michael Gambill ,Michel Kratochvil ,2 ,0 ,6 ,6 , , , ,1 ,3 , , ,
Heineken Open - Auckland ,2003-01-07 ,Guillermo Coria ,David Sanchez-Munoz ,2 ,1 ,2 ,6 ,6 , , ,6 ,2 ,4 , ,
Heineken Open - Auckland ,2003-01-07 ,Jiri Novak ,Robert Kendrick ,2 ,0 ,6 ,6 , , , ,2 ,3 , , ,
Heineken Open - Auckland ,2003-01-07 ,Mariano Zabaleta ,David Nalbandian ,2 ,1 ,2 ,7 ,6 , , ,6 ,6 ,3 , ,
Heineken Open - Auckland ,2003-01-07 ,Stefan Koubek ,Mark Nielsen ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Heineken Open - Auckland ,2003-01-07 ,Raemon Sluiter ,Davide Sanguinetti ,2 ,0 ,6 ,6 , , , ,3 ,3 , , ,
Heineken Open - Auckland ,2003-01-07 ,Michael Russell ,Radek Stepanek ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Heineken Open - Auckland ,2003-01-07 ,Fernando Gonzalez ,Feliciano Lopez ,2 ,1 ,3 ,7 ,6 , , ,6 ,6 ,2 , ,
Heineken Open - Auckland ,2003-01-07 ,Robby Ginepri ,Agustin Calleri ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Adidas International - Sydney ,2003-01-08 ,Marat Safin ,Jarkko Nieminen ,2 ,1 ,3 ,6 ,6 , , ,6 ,1 ,2 , ,
Adidas International - Sydney ,2003-01-08 ,Juan Carlos Ferrero ,Mikhail Youzhny ,2 ,0 ,6 ,6 , , , ,3 ,2 , , ,
Adidas International - Sydney ,2003-01-08 ,Franco Squillari ,Nikolay Davydenko ,2 ,0 ,6 ,6 , , , ,1 ,4 , , ,
Adidas International - Sydney ,2003-01-08 ,Wayne Ferreira ,Juan Ignacio Chela ,2 ,1 ,6 ,6 ,6 , , ,7 ,4 ,4 , ,
Adidas International - Sydney ,2003-01-08 ,Rainer Schuettler ,Gaston Gaudio ,2 ,0 ,7 ,6 , , , ,6 ,0 , , ,
Adidas International - Sydney ,2003-01-08 ,Hyung-Taik Lee ,Andy Roddick ,2 ,0 ,7 ,7 , , , ,6 ,5 , , ,
Adidas International - Sydney ,2003-01-08 ,Paradorn Srichaphan ,Max Mirnyi ,2 ,1 ,3 ,6 ,6 , , ,6 ,4 ,4 , ,
Adidas International - Sydney ,2003-01-08 ,Mardy Fish ,Carlos Moya ,2 ,1 ,7 ,4 ,6 , , ,6 ,6 ,4 , ,
Adidas International - Sydney ,2003-01-09 ,Juan Carlos Ferrero ,Paradorn Srichaphan ,2 ,0 ,6 ,6 , , , ,3 ,1 , , ,
Adidas International - Sydney ,2003-01-09 ,Wayne Ferreira ,Franco Squillari ,2 ,0 ,6 ,6 , , , ,0 ,4 , , ,
Adidas International - Sydney ,2003-01-09 ,Rainer Schuettler ,Mardy Fish ,2 ,0 ,7 ,6 , , , ,6 ,4 , , ,
Adidas International - Sydney ,2003-01-09 ,Hyung-Taik Lee ,Marat Safin ,1 ,0 ,w , , , , , , , , ,
Heineken Open - Auckland ,2003-01-09 ,Gustavo Kuerten ,Michael Russell ,2 ,1 ,4 ,6 ,6 , , ,6 ,4 ,2 , ,
Heineken Open - Auckland ,2003-01-09 ,Dominik Hrbaty ,Jan-Michael Gambill ,2 ,1 ,6 ,6 ,7 , , ,3 ,7 ,6 , ,
Heineken Open - Auckland ,2003-01-09 ,Guillermo Coria ,Fernando Vicente ,2 ,0 ,6 ,6 , , , ,2 ,2 , , ,
Heineken Open - Auckland ,2003-01-09 ,Jiri Novak ,Robby Ginepri ,2 ,1 ,1 ,7 ,6 , , ,6 ,6 ,3 , ,
Heineken Open - Auckland ,2003-01-09 ,Mariano Zabaleta ,Vince Spadea ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
Heineken Open - Auckland ,2003-01-09 ,Felix Mantilla ,Kenneth Carlsen ,2 ,0 ,6 ,6 , , , ,4 ,4 , , ,
Heineken Open - Auckland ,2003-01-09 ,Stefan Koubek ,Raemon Sluiter ,2 ,1 ,6 ,3 ,6 , , ,3 ,6 ,1 , ,
Heineken Open - Auckland ,2003-01-09 ,David Ferrer ,Fernando Gonzalez ,2 ,0 ,6 ,6 , , , ,4 ,3 , , ,
